,Employer,Orbis_ID,BvD_ID,fyear,CEI,State,Voluntary,Democratic_Lean,State_name,Region_Midwest,Region_Northeast,Region_South,Region_West,current_assets,lt_debt,TobinsQ,net_debt,Employees,ROA,RD_expenses,total_assets,LT_debt_to_assets,Net_debt_to_current_assets,Net_debt>0,ln_Employees,BvD sectors,Sector,public_scrutiny,consumer_proximity,litigation_risk,injury_risk,age,time_trend
2789,"Schulte, Roth & Zabel LLP",074262114,US165689610L,2013,45.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,0.0,3
2790,Seaboard Corp.,000000615,US042260388,2013,0.0,KS,0.0,-21.71674981529711,KANSAS,True,False,False,False,1853949.0,80480.0,0.974,-185828.0,11397.0,6.202,,3418048.0,0.02354560263635853,-0.10023360944664605,0.0,9.341105441855735,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,67.0,3
2791,Seagate Technology plc,575506061,IE606203,2013,45.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,5412000.0,2774000.0,,488000.0,53200.0,19.885,1133000.0,9243000.0,0.30011900897976845,0.090169992609017,1.0,10.881813675329736,Computer Hardware,Technology,Low,Low,High,Low,13.0,3
2792,Sealed Air Corp.,000011245,US650654331,2013,0.0,NJ,0.0,17.71879008349322,NEW JERSEY,False,True,False,False,3459500.0,4116400.0,0.728,3407100.0,25000.0,1.371,133000.0,9176000.0,0.4486050566695728,0.9848533025003613,1.0,10.126631103850338,"Wood, Furniture & Paper Manufacturing",Materials,Low,Low,Low,High,17.0,3
2793,Selective Insurance Group,000579391,US222168890,2013,65.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,,,0.241,,2100.0,1.713,,6270170.0,,,,7.649692623711514,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,87.0,3
2794,Sempra,000169129,US330732627,2013,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,3997000.0,11253000.0,0.589,12041000.0,17122.0,2.688,,37244000.0,0.3021426270003222,3.0125093820365274,1.0,9.74811946530243,Utilities,Energy,Low,High,High,High,17.0,3
2795,Seyfarth Shaw LLP,204129747,US133242396L,2013,100.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,0.0,3
2796,Shearman & Sterling LLP,000483636,US127608020L,2013,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,140.0,3
2797,Shell Oil Co.,483865387,US113724672GN,2013,95.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,,,,,,,,,,,,,Retail,Retailing,Low,Low,Low,Low,6.0,3
2798,"Sheppard, Mullin, Richter & Hampton LLP",000432124,US123303037L,2013,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,86.0,3
2799,"Sherwin-Williams Co., The",416436776,US312544592L,2013,15.0,OH,0.0,2.978306779897295,OHIO,True,False,False,False,,,,,,,,,,,,,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,147.0,3
2800,"Shook, Hardy & Bacon LLP",000075591,US126294705L,2013,100.0,MO,1.0,-9.380257590423753,MISSOURI,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,124.0,3
2801,Sidley Austin LLP,581572208,US378712034L,2013,100.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,,,,,,,,,,,,,,,,,,,,3
